STATEFP10,COUNTYFP10,TRACTCE10,id,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geo_id,census_tra,county,estimate,error,year,tract_area,WHPWeigh_1,TOT_POP_19,CNTY_AREA
06,093,000600,6093000600,6,Census Tract,G5020,S,548978424,1714094,41.6979555,-122.9225125,1400000US06093000600,6,Siskiyou County,1874,184,2017,550692558.5,2.88440057226,43468,16441086238
06,093,000500,6093000500,5,Census Tract,G5020,S,3191353023,9853821,41.7481348,-123.3068694,1400000US06093000500,5,Siskiyou County,1816,184,2017,3201206798,2.88440057226,43468,16441086238
06,093,000400,6093000400,4,Census Tract,G5020,S,533276182,3118262,41.9466483,-122.6348078,1400000US06093000400,4,Siskiyou County,580,90,2017,536394287.7,2.88440057226,43468,16441086238
06,093,001200,6093001200,12,Census Tract,G5020,S,3191027350,7990908,41.4116025,-121.8260568,1400000US06093001200,12,Siskiyou County,1375,183,2017,3199019632,2.88440057226,43468,16441086238
06,093,000300,6093000300,3,Census Tract,G5020,S,1422920785,14083548,41.7831006,-122.3292299,1400000US06093000300,3,Siskiyou County,4170,282,2017,1437004184,2.88440057226,43468,16441086238
06,093,001000,6093001000,10,Census Tract,G5020,S,406622214,2089302,41.3441729,-122.3332707,1400000US06093001000,10,Siskiyou County,6697,502,2017,408711497.1,2.88440057226,43468,16441086238
06,093,000100,6093000100,1,Census Tract,G5020,S,860014047,44664518,41.819927,-121.6337562,1400000US06093000100,1,Siskiyou County,1202,175,2017,904678661.4,2.88440057226,43468,16441086238
06,093,000900,6093000900,9,Census Tract,G5020,S,613475025,9799518,41.4800873,-122.427147,1400000US06093000900,9,Siskiyou County,7305,405,2017,623274633.4,2.88440057226,43468,16441086238
06,093,000702,6093000702,7.02,Census Tract,G5020,S,35800911,119539,41.7322521,-122.6201724,1400000US06093000702,7.02,Siskiyou County,4498,341,2017,35920444.55,2.88440057226,43468,16441086238
06,093,000703,6093000703,7.03,Census Tract,G5020,S,5033756,14100,41.7431803,-122.6399825,1400000US06093000703,7.03,Siskiyou County,3262,281,2017,5047854.974,2.88440057226,43468,16441086238
06,093,000701,6093000701,7.01,Census Tract,G5020,S,715150294,1172689,41.6608649,-122.6745712,1400000US06093000701,7.01,Siskiyou County,3709,343,2017,716323077.5,2.88440057226,43468,16441086238
06,095,252105,6095252105,2521.05,Census Tract,G5020,S,2657585,10968,38.0806409,-122.1856811,1400000US06095252105,2521.05,Solano County,3342,319,2017,2668552.236,1.05043332308,441829,2347147562
06,095,251000,6095251000,2510,Census Tract,G5020,S,727397,0,38.1011243,-122.2485415,1400000US06095251000,2510,Solano County,2783,470,2017,727393.273,1.05043332308,441829,2347147562
06,095,251300,6095251300,2513,Census Tract,G5020,S,1254981,0,38.1146854,-122.235826,1400000US06095251300,2513,Solano County,2626,241,2017,1254981.752,1.05043332308,441829,2347147562
06,095,251400,6095251400,2514,Census Tract,G5020,S,2256222,0,38.1237134,-122.23956,1400000US06095251400,2514,Solano County,5669,535,2017,2256228.915,1.05043332308,441829,2347147562
06,095,251500,6095251500,2515,Census Tract,G5020,S,1376732,0,38.111521,-122.2497147,1400000US06095251500,2515,Solano County,4378,431,2017,1376729.98,1.05043332308,441829,2347147562
06,095,251600,6095251600,2516,Census Tract,G5020,S,861227,212332,38.1083885,-122.2622993,1400000US06095251600,2516,Solano County,2508,366,2017,1073561.62,1.05043332308,441829,2347147562
06,001,404800,6001404800,4048,Census Tract,G5020,S,628405,0,37.8055076,-122.2131962,1400000US06001404800,4048,Alameda County,2723,218,2017,628406.813,0.70832809456,1656754,2126920907
06,001,450750,6001450750,4507.5,Census Tract,G5020,S,1710186,0,37.705381,-121.8610103,1400000US06001450750,4507.5,Alameda County,4844,306,2017,1710185.243,0.70832809456,1656754,2126920907
06,001,451403,6001451403,4514.03,Census Tract,G5020,S,679874,0,37.6912319,-121.7842461,1400000US06001451403,4514.03,Alameda County,2244,151,2017,679872.061,0.70832809456,1656754,2126920907
06,001,451505,6001451505,4515.05,Census Tract,G5020,S,1373459,0,37.6894445,-121.7246715,1400000US06001451505,4515.05,Alameda County,3434,206,2017,1373456.894,0.70832809456,1656754,2126920907
06,001,451506,6001451506,4515.06,Census Tract,G5020,S,851134,0,37.6833516,-121.7291862,1400000US06001451506,4515.06,Alameda County,3482,312,2017,851135.551,0.70832809456,1656754,2126920907
06,001,451704,6001451704,4517.04,Census Tract,G5020,S,2005363,0,37.6621234,-121.7900629,1400000US06001451704,4517.04,Alameda County,4668,204,2017,2005364.147,0.70832809456,1656754,2126920907
06,099,003400,6099003400,34,Census Tract,G5020,S,906281885,1177250,37.3260075,-121.1936646,1400000US06099003400,34,Stanislaus County,1546,269,2017,907459399.1,0.78146346217,543194,3921018697
06,099,003300,6099003300,33,Census Tract,G5020,S,641671471,2631241,37.4975422,-121.3425676,1400000US06099003300,33,Stanislaus County,5818,498,2017,644302120.2,0.78146346217,543194,3921018697
06,019,003805,6019003805,38.05,Census Tract,G5020,S,2249851,0,36.7785154,-119.8542883,1400000US06019003805,38.05,Fresno County,7045,922,2017,2249843.04,0.91555505004,984521,15568749951
06,019,005503,6019005503,55.03,Census Tract,G5020,S,18457269,810675,36.9047402,-119.7675337,1400000US06019005503,55.03,Fresno County,5480,419,2017,19267896.52,0.91555505004,984521,15568749951
06,019,004301,6019004301,43.01,Census Tract,G5020,S,5418527,278085,36.8461075,-119.8416132,1400000US06019004301,43.01,Fresno County,3977,255,2017,5696614.659,0.91555505004,984521,15568749951
06,013,305000,6013305000,3050,Census Tract,G5020,S,8130692,1383116,38.0142971,-121.8300077,1400000US06013305000,3050,Contra Costa County,6347,622,2017,9513803.807,1.20197693925,1142251,2082117208
06,013,306002,6013306002,3060.02,Census Tract,G5020,S,7500124,1806211,38.0077971,-121.761924,1400000US06013306002,3060.02,Contra Costa County,3344,449,2017,9306339.435,1.20197693925,1142251,2082117208
06,013,307205,6013307205,3072.05,Census Tract,G5020,S,3076555,0,37.9860335,-121.829459,1400000US06013307205,3072.05,Contra Costa County,7058,547,2017,3076552.784,1.20197693925,1142251,2082117208
06,013,309000,6013309000,3090,Census Tract,G5020,S,9907973,8908992,38.0392742,-121.8641513,1400000US06013309000,3090,Contra Costa County,3571,291,2017,18816947.34,1.20197693925,1142251,2082117208
06,013,310000,6013310000,3100,Census Tract,G5020,S,1981454,0,38.0264818,-121.8917738,1400000US06013310000,3100,Contra Costa County,6482,556,2017,1981460.975,1.20197693925,1142251,2082117208
06,013,313103,6013313103,3131.03,Census Tract,G5020,S,14007838,0,37.9809289,-121.8754202,1400000US06013313103,3131.03,Contra Costa County,8515,618,2017,14007839.7,1.20197693925,1142251,2082117208
06,041,108100,6041108100,1081,Census Tract,G5020,S,7090051,0,38.0178676,-122.5626436,1400000US06041108100,1081,Marin County,6839,299,2017,7090058.615,1.50996946346,259943,2144961385
06,041,108200,6041108200,1082,Census Tract,G5020,S,4739038,0,37.9988823,-122.5476062,1400000US06041108200,1082,Marin County,6376,534,2017,4739039.306,1.50996946346,259943,2144961385
06,041,110100,6041110100,1101,Census Tract,G5020,S,6743757,188908,37.9818141,-122.5104321,1400000US06041110100,1101,Marin County,5926,649,2017,6932659.926,1.50996946346,259943,2144961385
06,041,110200,6041110200,1102,Census Tract,G5020,S,9156998,3834086,37.985633,-122.474165,1400000US06041110200,1102,Marin County,4896,356,2017,12991093.7,1.50996946346,259943,2144961385
06,041,111000,6041111000,1110,Census Tract,G5020,S,2321959,0,37.9702856,-122.5368786,1400000US06041111000,1110,Marin County,5843,478,2017,2321957.759,1.50996946346,259943,2144961385
06,041,112100,6041112100,1121,Census Tract,G5020,S,2925442,0,37.9610287,-122.5205522,1400000US06041112100,1121,Marin County,4832,449,2017,2925441.825,1.50996946346,259943,2144961385
06,041,124100,6041124100,1241,Census Tract,G5020,S,5906174,3072805,37.9026341,-122.4888202,1400000US06041124100,1241,Marin County,5488,340,2017,8978979.452,1.50996946346,259943,2144961385
06,041,124200,6041124200,1242,Census Tract,G5020,S,10372588,7552972,37.8787769,-122.4496504,1400000US06041124200,1242,Marin County,5911,449,2017,17925560.61,1.50996946346,259943,2144961385
06,041,125000,6041125000,1250,Census Tract,G5020,S,2480951,1377449,37.8886599,-122.5058805,1400000US06041125000,1250,Marin County,4470,234,2017,3858403.708,1.50996946346,259943,2144961385
06,041,126100,6041126100,1261,Census Tract,G5020,S,5298032,0,37.912151,-122.540486,1400000US06041126100,1261,Marin County,6163,360,2017,5298034.471,1.50996946346,259943,2144961385
06,041,126200,6041126200,1262,Census Tract,G5020,S,3423392,429096,37.899975,-122.5225708,1400000US06041126200,1262,Marin County,4464,315,2017,3852490.355,1.50996946346,259943,2144961385
06,041,127000,6041127000,1270,Census Tract,G5020,S,4482691,0,37.9104404,-122.5585052,1400000US06041127000,1270,Marin County,4546,314,2017,4482693.238,1.50996946346,259943,2144961385
