id,geo_id,county,county_pop_19,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,tract_id_num,geo_id_tract
6087120700,1400000US06087120700,Santa Cruz County,273962,-0.466666669,0.073638275,-49.11515152,0.061131627,-0.011650155,6.46E-12,High_Dens_Interface,2,6087120700,06087120700
6087120302,1400000US06087120302,Santa Cruz County,273962,0.555555582,0.031823158,42.43030303,0.013806586,0.014832447,5.89E-13,Med_Dens_Interface,2,6087120302,06087120302
6087120400,1400000US06087120400,Santa Cruz County,273962,-0.244444445,0.371093333,-14.33333333,0.358232699,-0.002876891,0.065124181,Med_Dens_Interface,2,6087120400,06087120400
6087122002,1400000US06087122002,Santa Cruz County,273962,-0.449466556,0.087961458,-29.23636364,0.031718978,-0.008396943,6.80E-06,Med_Dens_Interface,1,6087122002,06087122002
6081610302,1400000US06081610302,San Mateo County,767423,0.911111116,3.47E-04,187.4545455,3.01E-05,0.072697815,3.32E-242,Med_Dens_Interface,2,6081610302,06081610302
6081611300,1400000US06081611300,San Mateo County,767423,0.688888907,0.007290363,117.6121212,1.09E-04,0.023471937,2.28E-51,High_Dens_Interface,2,6081611300,06081611300
6081604400,1400000US06081604400,San Mateo County,767423,0.777777791,0.002357483,97.04848485,8.91E-05,0.019936647,1.52E-36,High_Dens_Interface,2,6081604400,06081604400
6081604600,1400000US06081604600,San Mateo County,767423,0.555555582,0.031823158,67.26666667,0.004331583,0.025460333,1.62E-32,High_Dens_Interface,2,6081604600,06081604600
6081605000,1400000US06081605000,San Mateo County,767423,0.333333343,0.210497618,62.66666667,0.040978966,0.00754947,4.19E-10,High_Dens_Interface,2,6081605000,06081605000
6071007200,1400000US06071007200,San Bernardino County,2149031,-0.244444445,0.371093333,-95.92121212,0.046194075,-0.014112657,4.36E-26,Low_Dens_Interface,2,6071007200,06071007200
6081604900,1400000US06081604900,San Mateo County,767423,0.111111112,0.720514774,2.890909091,0.830358898,9.19E-04,0.639738332,High_Dens_Interface,2,6081604900,06081604900
6081605200,1400000US06081605200,San Mateo County,767423,-0.422222227,0.107404657,-26.95757576,0.091062668,-0.007148511,6.69E-05,High_Dens_Interface,2,6081605200,06081605200
6013355115,1400000US06013355115,Contra Costa County,1142251,1,8.31E-05,547.3393939,6.94E-06,0.094074404,0,High_Dens_Interface,2,6013355115,06013355115
6013339002,1400000US06013339002,Contra Costa County,1142251,0.733333349,0.004207492,242.9757576,5.93E-05,0.039243654,3.28E-172,High_Dens_Interface,2,6013339002,06013339002
6071004507,1400000US06071004507,San Bernardino County,2149031,0.422222227,0.107404709,63.81212121,0.03139346,0.011931919,2.30E-15,High_Dens_Interface,2,6071004507,06071004507
6013351102,1400000US06013351102,Contra Costa County,1142251,0.244444445,0.371093273,6.612121212,0.401424621,0.001803201,0.321302945,High_Dens_Interface,2,6013351102,06013351102
6013351103,1400000US06013351103,Contra Costa County,1142251,-0.06666667,0.858027637,-3.418181818,0.630070201,-0.001751665,0.482164131,High_Dens_Interface,2,6013351103,06013351103
6071004509,1400000US06071004509,San Bernardino County,2149031,0.333333343,0.210497618,28.36969697,0.114437265,0.005543733,3.16E-04,High_Dens_Interface,2,6071004509,06071004509
6071002018,1400000US06071002018,San Bernardino County,2149031,-0.06666667,0.858027637,-34.93939394,0.352296442,-0.006608909,1.28E-05,Med_Dens_Interface,2,6071002018,06071002018
6073013302,1400000US06073013302,San Diego County,3316073,-0.022222223,1,-8.739393939,0.618999544,-0.001800313,0.254576678,High_Dens_Interface,2,6073013302,06073013302
6083002209,1400000US06083002209,Santa Barbara County,444829,1,8.31E-05,75.41818182,9.93E-05,0.022301395,5.59E-32,High_Dens_Interface,2,6083002209,06083002209
6083002303,1400000US06083002303,Santa Barbara County,444829,0.600000024,0.020044684,42.71515152,0.026089867,0.006869037,8.67E-07,High_Dens_Interface,2,6083002303,06083002303
6083001901,1400000US06083001901,Santa Barbara County,444829,0.333333343,0.210497618,22.46060606,0.296988574,0.003083603,0.016832699,High_Dens_Interface,2,6083001901,06083001901
6083001903,1400000US06083001903,Santa Barbara County,444829,0.955555558,1.72E-04,106.3878788,8.59E-06,0.017607336,1.91E-35,Med_Dens_Interface,2,6083001903,06083001903
6083001905,1400000US06083001905,Santa Barbara County,444829,-0.688888907,0.007290357,-28.81212121,0.006611663,-0.01081343,4.00E-07,Med_Dens_Interface,2,6083001905,06083001905
6083001906,1400000US06083001906,Santa Barbara County,444829,-0.688888907,0.007290357,-81.60606061,8.37E-04,-0.013378344,2.36E-21,Med_Dens_Interface,2,6083001906,06083001906
6037121210,1400000US06037121210,Los Angeles County,10081570,0.600000024,0.020044684,46.96363636,0.009737437,0.016160795,2.58E-15,Med_Dens_Interface,2,6037121210,06037121210
6037121900,1400000US06037121900,Los Angeles County,10081570,-0.555555582,0.031823125,-85.02424242,0.002597325,-0.020808049,1.48E-33,Med_Dens_Interface,2,6037121900,06037121900
6037122120,1400000US06037122120,Los Angeles County,10081570,-0.244444445,0.371093333,-11.86666667,0.563266154,-0.002480516,0.119156326,High_Dens_Interface,2,6037122120,06037122120
6037122200,1400000US06037122200,Los Angeles County,10081570,-0.155555561,0.591505051,-7.490909091,0.859011248,-0.001908426,0.277478113,High_Dens_Interface,2,6037122200,06037122200
6037401304,1400000US06037401304,Los Angeles County,10081570,-0.688888907,0.007290357,-82.07272727,5.94E-04,-0.013778228,4.65E-22,Low_Dens_Intermix,1,6037401304,06037401304
6037460401,1400000US06037460401,Los Angeles County,10081570,-0.377777785,0.15240626,-17.41818182,0.079324751,-0.017155749,6.95E-07,High_Dens_Interface,2,6037460401,06037460401
6037910002,1400000US06037910002,Los Angeles County,10081570,0.822222233,0.001282215,202.1878788,5.98E-05,0.028493187,4.35E-105,Med_Dens_Interface,1,6037910002,06037910002
6037143902,1400000US06037143902,Los Angeles County,10081570,0.377777785,0.152406216,37.58181818,0.085589448,0.013389307,1.19E-10,Low_Dens_Intermix,1,6037143902,06037143902
6037311500,1400000US06037311500,Los Angeles County,10081570,0.466666669,0.07363832,32.93939394,0.047173085,0.005898283,6.25E-05,High_Dens_Interface,2,6037311500,06037311500
6037920040,1400000US06037920040,Los Angeles County,10081570,0.688888907,0.007290363,102.830303,0.001321319,0.030741659,1.74E-58,High_Dens_Interface,2,6037920040,06037920040
6037910201,1400000US06037910201,Los Angeles County,10081570,-0.155555561,0.591505051,-27.50909091,0.368015863,-0.006913604,7.47E-05,High_Dens_Interface,2,6037910201,06037910201
6073000500,1400000US06073000500,San Diego County,3316073,0.777777791,0.002357483,69.91515152,3.25E-04,0.023932197,8.16E-32,Med_Dens_Intermix,1,6073000500,06073000500
6073013604,1400000US06073013604,San Diego County,3316073,0.51111114,0.049098015,59.97575758,0.032318076,0.0094135,8.87E-12,High_Dens_Interface,2,6073013604,06073013604
6073018603,1400000US06073018603,San Diego County,3316073,0.600000024,0.020044684,53.23636364,0.018729306,0.008155743,2.17E-09,Low_Dens_Interface,2,6073018603,06073018603
6073018609,1400000US06073018609,San Diego County,3316073,0.51111114,0.049098015,59.54545455,0.056899247,0.00968671,5.30E-12,High_Dens_Interface,2,6073018609,06073018609
6073017034,1400000US06073017034,San Diego County,3316073,0.466666669,0.07363832,55.47272727,0.013876517,0.011010269,1.27E-12,High_Dens_Interface,2,6073017034,06073017034
6073017035,1400000US06073017035,San Diego County,3316073,0.777777791,0.002357483,89.84242424,2.40E-04,0.030210975,1.78E-50,High_Dens_Interface,2,6073017035,06073017035
6073017036,1400000US06073017036,San Diego County,3316073,-0.022222223,1,-0.709090909,0.954560719,-1.98E-04,0.914274995,High_Dens_Interface,2,6073017036,06073017036
6073017037,1400000US06073017037,San Diego County,3316073,-0.333333343,0.210497677,-35.52727273,0.197667531,-0.006127047,2.26E-05,High_Dens_Interface,2,6073017037,06073017037
6073008505,1400000US06073008505,San Diego County,3316073,0.822222233,0.001282215,81.52121212,2.48E-04,0.01313524,5.65E-21,High_Dens_Interface,2,6073008505,06073008505
6073016502,1400000US06073016502,San Diego County,3316073,0.733333349,0.004207492,155.6424242,3.03E-04,0.02172803,1.55E-62,Med_Dens_Interface,2,6073016502,06073016502
6073009506,1400000US06073009506,San Diego County,3316073,0.51111114,0.049098015,49.78787879,0.00860822,0.011606304,5.09E-12,High_Dens_Interface,2,6073009506,06073009506
6073013303,1400000US06073013303,San Diego County,3316073,0.06666667,0.858027697,27.72121212,0.345803521,0.005306153,4.95E-04,Med_Dens_Interface,2,6073013303,06073013303
6073008365,1400000US06073008365,San Diego County,3316073,0.155555561,0.591505051,-1.339393939,0.921505476,-4.33E-04,0.826936709,High_Dens_Interface,2,6073008365,06073008365
6073013314,1400000US06073013314,San Diego County,3316073,0.955555558,1.72E-04,983.0545455,7.49E-08,0.056515298,0,High_Dens_Interface,2,6073013314,06073013314
6073013310,1400000US06073013310,San Diego County,3316073,0.644444466,0.01226604,419.4606061,0.008293408,0.014489405,5.59E-111,High_Dens_Interface,2,6073013310,06073013310
6073013313,1400000US06073013313,San Diego County,3316073,1,8.31E-05,1379.666667,1.28E-07,0.110634215,0,High_Dens_Interface,2,6073013313,06073013313
6107003002,1400000US06107003002,Tulare County,461898,-0.777777791,0.002357526,-76.85454545,0.00133111,-0.021165272,5.47E-31,Med_Dens_Intermix,1,6107003002,06107003002
6107001003,1400000US06107001003,Tulare County,461898,1,8.31E-05,847.7151515,1.19E-08,0.039386924,0,Low_Dens_Intermix,1,6107001003,06107001003
6083002306,1400000US06083002306,Santa Barbara County,444829,0.777777791,0.002357483,186.5090909,4.10E-04,0.021672996,2.18E-74,High_Dens_Interface,2,6083002306,06083002306
6083002305,1400000US06083002305,Santa Barbara County,444829,-0.200000003,0.474274337,-42.98787879,0.312753207,-0.005935527,4.48E-06,High_Dens_Interface,2,6083002305,06083002305
6083002013,1400000US06083002013,Santa Barbara County,444829,-0.022222223,1,1.078787879,0.94876765,3.90E-04,0.852296337,Med_Dens_Interface,2,6083002013,06083002013
6083002011,1400000US06083002011,Santa Barbara County,444829,0.822222233,0.001282215,199.1818182,1.81E-04,0.036572293,3.96E-132,High_Dens_Interface,2,6083002011,06083002011
6083001601,1400000US06083001601,Santa Barbara County,444829,0.688888907,0.007290363,106.6909091,1.93E-04,0.020080369,2.81E-40,High_Dens_Interface,2,6083001601,06083001601
6037123020,1400000US06037123020,Los Angeles County,10081570,0.022222223,1,8.76969697,0.725810852,0.002575186,0.172266503,High_Dens_Interface,2,6037123020,06037123020
6037113321,1400000US06037113321,Los Angeles County,10081570,0.244444445,0.371093273,55.6,0.080903597,0.009401547,5.17E-11,High_Dens_Interface,2,6037113321,06037113321
6037113322,1400000US06037113322,Los Angeles County,10081570,0.688888907,0.007290363,55.24242424,0.004438369,0.013413392,5.44E-15,High_Dens_Interface,2,6037113322,06037113322
6037197410,1400000US06037197410,Los Angeles County,10081570,0.733333349,0.004207492,89.12121212,8.98E-04,0.021584929,2.46E-36,Med_Dens_Intermix,1,6037197410,06037197410
6037401800,1400000US06037401800,Los Angeles County,10081570,0.822222233,0.001282215,140.1393939,3.75E-04,0.018308866,6.67E-48,Med_Dens_Interface,2,6037401800,06037401800
6037403320,1400000US06037403320,Los Angeles County,10081570,-0.688888907,0.007290357,-58.26060606,6.39E-04,-0.011091739,2.88E-13,High_Dens_Interface,2,6037403320,06037403320
6037408625,1400000US06037408625,Los Angeles County,10081570,-0.333333343,0.210497677,-28.01818182,0.117971659,-0.006641289,8.94E-05,Med_Dens_Interface,2,6037408625,06037408625
6037501300,1400000US06037501300,Los Angeles County,10081570,0.06666667,0.858027697,25.87272727,0.375202903,0.003600363,0.005569275,High_Dens_Interface,2,6037501300,06037501300
6037501400,1400000US06037501400,Los Angeles County,10081570,-0.449466556,0.087961458,-35.7030303,0.078219493,-0.008944625,2.86E-07,High_Dens_Interface,2,6037501400,06037501400
6037501503,1400000US06037501503,Los Angeles County,10081570,0.555555582,0.031823158,65.05454545,0.001825664,0.01312652,4.82E-17,High_Dens_Interface,2,6037501503,06037501503
